abide,respecter,1
about,sur,1
above,au dessus,1
abroad,à l'étranger,1
absence,absence,1
abuse,abuser de,1
according,selon,1
account,Compte,1
accuse,accuser,1
acquainted,connaissance,1
action,action,1
advantage,avantage,1
advice,Conseil,1
affairs,affaires,1
affection,affection,1
affections,affections,1
afraid,peur,1
after,après,1
afterwards,ensuite,1
again,encore,1
alive,vivant,1
almost,presque,1
alone,seul,1
along,le long de,1
already,déjà,1
although,bien que,1
always,toujours,1
ambition,ambition,1
ancient,ancien,1
angel,ange,1
anger,colère,1
another,un autre,1
answer,répondre,1
anything,n'importe quoi,1
apparel,vêtements,1
appear,apparaître,1
appears,apparaît,1
approach,approche,1
argument,argument,1
ariel,Ariel,1
armour,armure,1
aside,de côté,1
asleep,endormi,1
assure,assurer,1
athens,Athènes,1
attend,assister,1
attended,assisté,1
authority,autorité,1
avoid,éviter,1
awake,éveillé,1
awhile,quelque temps,1
banish,bannir,1
barren,Dénudé,1
bassianus,bassianus,1
bastard,Connard,1
battle,bataille,1
beard,barbe,1
bearing,palier,1
bears,ours,1
beast,la bête,1
beaten,battu,1
beauty,beauté,1
because,car,1
become,devenir,1
bedford,Bedford,1
before,avant,1
beggar,mendiant,1
begin,commencer,1
behalf,nom,1
behind,derrière,1
behold,voir,1
being,étant,1
believe,croyez,1
belike,être comme,1
below,au dessous de,1
benefit,avantage,1
besides,outre,1
betray,trahir,1
better,mieux,1
between,entre,1
beyond,au-delà,1
birth,naissance,1
bishop,évêque,1
bitter,amer,1
black,noir,1
blame,faire des reproches,1
bless,bénir,1
blessing,bénédiction,1
blest,heureux,1
blind,aveugle,1
blood,du sang,1
blows,coups,1
blunt,cru,1
blush,rougir,1
bodies,corps,1
bones,des os,1
borne,supporté,1
bottom,bas,1
bought,acheté,1
bound,lié,1
bounty,prime,1
brain,cerveau,1
brains,cerveaux,1
brave,courageux,1
breast,Sein,1
breath,souffle,1
breed,race,1
brief,bref,1
bright,brillant,1
bring,apporter,1
broke,cassé,1
brook,ruisseau,1
brother,frère,1
brought,apporté,1
brows,sourcils,1
burden,fardeau,1
buried,enterré,1
burning,brûlant,1
business,Entreprise,1
cannot,ne peux pas,1
capitol,Capitole,1
captain,capitaine,1
cardinal,cardinal,1
cares,se soucie,1
carry,porter,1
castle,Château,1
catch,capture,1
cause,cause,1
cease,cesser,1
certain,certain,1
chain,chaîne,1
chair,chaise,1
challenge,défi,1
chamber,chambre,1
chance,chance,1
change,changement,1
charge,charge,1
charity,charité,1
chaste,chaste,1
cheek,joue,1
cheer,acclamation,1
chide,gronder,1
chief,chef,1
child,enfant,1
choice,choix,1
church,église,1
cinna,cinna,1
citizen,citoyenne,1
civil,civil,1
claim,prétendre,1
clarence,clarté,1
claud,claud,1
claudio,Claudio,1
clear,clair,1
clifford,Clifford,1
close,proche,1
cloten,cailloter,1
clothes,vêtements,1
clouds,des nuages,1
clown,pitre,1
college,Université,1
colour,Couleur,1
comes,vient,1
comfort,confort,1
coming,venir,1
cominius,cominius,1
command,commander,1
commanded,commandé,1
commend,saluer,1
commercial,commercial,1
commission,commission,1
commit,commettre,1
common,commun,1
companion,un compagnon,1
company,entreprise,1
complete,Achevée,1
complexion,complexion,1
condition,état,1
conduct,conduite,1
confess,avouer,1
conscience,conscience,1
consent,consentement,1
consider,considérer,1
constable,gendarme,1
constant,constant,1
contempt,mépris,1
content,contenu,1
contrary,contraire,1
copies,copies,1
copyright,droits d'auteur,1
could,pourrait,1
council,conseil,1
counsel,Conseil,1
count,compter,1
counterfeit,contrefaire,1
countess,comtesse,1
country,pays,1
courage,courage,1
course,cours,1
court,tribunal,1
courtesy,courtoisie,1
cousin,cousin,1
coward,lâche,1
crave,demander,1
creature,créature,1
credit,crédit,1
cromwell,Cromwell,1
cross,traverser,1
crown,couronne,1
cruel,cruel,1
cunning,ruse,1
cupid,Cupidon,1
curse,malédiction,1
custom,Douane,1
dagger,dague,1
damned,damné,1
dance,Danse,1
danger,danger,1
darkness,obscurité,1
daughter,fille,1
deadly,mortel,1
dearest,très cher,1
dearly,chèrement,1
death,décès,1
deeds,actes,1
defend,défendre,1
degree,diplôme,1
delight,délice,1
deliver,livrer,1
demand,demande,1
denied,refusé,1
depart,partir,1
desert,désert,1
deserve,mériter,1
desire,le désir,1
despair,désespoir,1
desperate,désespéré,1
despite,malgré,1
device,dispositif,1
devil,diable,1
devise,concevoir,1
didst,didst,1
dinner,dîner,1
discourse,discours,1
discover,découvrir,1
disgrace,disgrâce,1
dishonour,déshonorer,1
dispatch,envoi,1
displeasure,mécontentement,1
disposition,disposition,1
distributed,distribué,1
divine,Divin,1
doctor,docteur,1
doing,Faire,1
dolabella,Dolabella,1
doors,des portes,1
double,double,1
doubt,doute,1
download,Télécharger,1
dramatis,dramatis,1
drawn,tiré,1
dread,crainte,1
dreadful,horrible,1
dream,rêver,1
dreams,rêves,1
drink,boisson,1
drops,gouttes,1
drown,noyer,1
drums,tambours,1
drunk,ivre,1
duncan,Duncan,1
durst,durst,1
dwell,habiter,1
dying,en train de mourir,1
early,de bonne heure,1
earth,Terre,1
edmund,Edmund,1
effect,effet,1
egypt,Egypte,1
either,Soit,1
elbow,coude,1
elder,aîné,1
embrace,embrasse,1
emilia,Émilie,1
emperor,empereur,1
empty,vide,1
encounter,rencontre,1
endure,supporter,1
enemies,ennemis,1
enemy,ennemi,1
enjoy,prendre plaisir,1
enobarbus,énobarbus,1
enough,assez,1
enter,entrer,1
entertain,divertir,1
entertainment,divertissement,1
entreat,supplier,1
equal,égal,1
estate,biens,1
eternal,éternel,1
every,chaque,1
everything,tout,1
excellent,excellent,1
except,sauf,1
excuse,excuse,1
execution,exécution,1
exeter,Exeter,1
exeunt,sortir,1
express,Express,1
faces,visages,1
faint,perdre connaissance,1
fairy,Fée,1
faith,Foi,1
falls,des chutes,1
false,faux,1
familiar,familier,1
fancy,fantaisie,1
farewell,adieu,1
farther,plus loin,1
fashion,mode,1
fatal,fatal,1
father,père,1
fault,faute,1
favour,favoriser,1
fearful,craintif,1
fears,peurs,1
feast,le banquet,1
feeble,faible,1
fellow,compagnon,1
fenton,Fenton,1
ferdinand,Ferdinand,1
fetch,chercher,1
field,champ,1
fiend,démon,1
fierce,féroce,1
fiery,ardent,1
fight,bats toi,1
figure,figure,1
finds,trouve,1
finger,doigt,1
first,première,1
flatter,flatter,1
flesh,la chair,1
flies,mouches,1
flight,vol,1
flood,inonder,1
flourish,fleurir,1
flower,fleur,1
flowers,fleurs,1
follow,suivre,1
folly,folie,1
foolish,insensé,1
fools,imbéciles,1
forbear,ancêtre,1
forbid,interdire,1
force,Obliger,1
forces,les forces,1
forest,forêt,1
forget,oublier,1
former,ancien,1
forsooth,en vérité,1
forth,en avant,1
fortune,fortune,1
forward,vers l'avant,1
fought,combattu,1
found,a trouvé,1
fourth,Quatrième,1
frame,Cadre,1
france,France,1
freely,librement,1
french,français,1
fresh,Frais,1
friend,ami,1
frown,froncer les sourcils,1
fruit,fruit,1
further,plus loin,1
gallant,galant,1
garden,jardin,1
gates,portes,1
gaunt,décharné,1
general,général,1
gentle,doux,1
ghost,fantôme,1
given,donné,1
giving,donnant,1
glass,verre,1
glorious,glorieux,1
glory,gloire,1
going,Aller,1
golden,d'or,1
goodness,la bonté,1
gower,gower,1
grace,la grâce,1
grant,subvention,1
grave,la tombe,1
great,génial,1
green,vert,1
greet,saluer,1
grief,douleur,1
